100
71 19
8 22 16 41 74 10 42 19 7 3 26 9 30 13 62 59 4 11 44 29 34 1 5 12 52 23 66 71 45 31 57 68 64 48 14 65 49 54 69 39 46 72 51 56 73 43 21 24 15 2 33 55 75 32 58 61 25 17 63 27 6 20 38 60 35 18 36 40 50 70 47
608 225 553 501
49 61 24 4 32
38 53 73 46 63
44 10 52 50 59
68 62 16 29 6
65 3 59 8 49
6 46 19 67 61
14 4 29 27 63
64 72 45 20 50
47 73 53 11 35
29 62 4 65 41
68 33 28 20 47
58 32 11 8 37
12 7 72 71 24
14 49 45 35 3
74 67 64 7 29
46 10 65 54 50
71 33 11 75 4
53 41 52 35 3
38 61 27 15 62
53 38 25 44 72
32 64 51 73 13
37 28 52 10 4
29 6 59 42 54
41 14 45 49 20
22 6
4 45 65 60 16 27 28 23 46 13 11 12 40 66 38 29 41 33 52 35 10 71
335 175 831 440
50 38 61 22 27
13 17 31 14 65
16 60 73 21 45
2 63 66 11 10
36 5 9 7 71
29 50 45 15 11
8 12 49 26 63
40 52 33 2 14
16 28 75 38 56
22 37 23 18 71
63 35 8 45 12
73 23 65 46 26
27 14 37 47 62
61 41 4 21 7
22 48 17 40 36
61 71 56 49 13
38 26 18 44 50
1 52 73 66 63
47 15 41 10 28
22 46 36 9 14
16 8 48 71 75
22 65 56 5 46
17 18 63 14 60
66 26 27 47 62
61 40 21 4 36
31 40 21 2 50
28 10 5 49 36
12 63 4 47 1
44 29 9 7 18
66 62 48 24 8
71 0
6 52 42 2 55 47 48 45 43 74 29 18 71 57 33 16 54 73 63 11 23 40 68 31 10 24 19 1 61 17 25 8 37 62 59 15 51 38 32 64 30 35 60 39 26 28 49 53 13 72 14 20 56 44 27 21 4 34 67 36 70 41 3 50 5 9 7 69 58 66 65
97 392 253 344
34 4
6 24 27 66 71 25 42 51 29 61 41 69 43 47 33 26 28 10 60 17 46 56 31 22 7 63 74 45 32 14 54 19 65 37
458 878 128 216
6 27 45 63 11
60 43 62 28 42
31 73 32 17 56
19 57 26 66 51
67 9 52 74 22
69 28 6 30 24
54 17 65 29 3
12 32 14 26 31
34 4 67 45 74
46 9 52 48 37
41 24 29 56 74
4 33 60 19 70
47 69 10 73 57
34 42 67 30 71
51 43 46 27 7
60 54 74 38 29
48 71 7 26 43
28 33 11 73 12
42 47 57 62 56
9 66 67 6 51
29 25
53 35 68 46 57 38 54 9 37 5 66 49 12 36 71 45 47 67 56 20 17 26 24 13 59 72 63 51 21
418 623 219 394
29 56 67 58 62
31 21 71 74 28
26 1 43 39 8
14 72 47 68 51
63 65 24 11 50
58 53 26 50 37
32 36 39 22 11
72 47 74 5 51
28 21 49 9 65
1 8 71 17 31
54 13 57 45 8
25 69 68 29 31
75 72 36 51 21
18 20 38 11 43
28 74 12 58 1
62 9 47 22 11
43 1 50 75 45
71 35 72 38 54
58 26 67 29 69
20 12 36 53 8
69 5 57 71 25
13 32 31 29 68
58 56 39 45 72
18 14 26 35 9
20 8 37 74 47
59 58 56 66 1
51 35 71 38 57
28 13 62 68 67
20 26 25 54 18
8 41 9 69 72
22 21 63 75 47
53 72 29 59 25
36 45 14 31 57
74 17 43 58 71
66 56 62 13 54
63 45 26 51 68
47 13 58 72 24
71 67 43 62 25
12 38 11 53 8
18 29 54 35 14
22 12 63 38 25
69 24 72 58 29
62 26 14 32 66
20 71 45 39 18
35 68 49 8 65
38 1 18 20 57
71 26 50 58 5
62 75 22 12 51
56 28 37 41 24
21 72 25 66 8
59 32 67 5 28
8 14 74 31 35
38 29 47 20 69
41 11 62 50 72
45 58 68 9 1
56 65 11 74 68
31 13 75 59 12
37 39 71 17 53
57 47 43 45 63
72 35 51 22 9
31 37 75 54 38
68 14 66 62 36
20 74 72 50 67
29 26 1 43 12
9 65 18 59 41
67 11 22 31 35
50 39 47 65 32
36 29 17 5 66
41 69 20 8 74
59 18 21 68 63
21 18 59 11 8
53 47 68 75 17
35 74 25 41 24
32 67 50 37 9
66 39 46 62 58
36 49 43 18 11
47 66 67 50 45
22 68 54 24 28
14 17 58 39 57
38 12 71 72 46
58 9 22 35 24
72 12 32 43 25
46 31 38 21 8
53 57 11 49 75
63 69 20 13 5
72 59 11 1 45
39 20 49 58 37
57 75 5 24 67
53 32 62 71 29
35 9 21 13 26
68 12 46 50 31
29 20 53 39 59
56 62 36 32 66
74 38 13 65 51
22 9 58 43 67
47 63 72 62 54
18 13 53 28 43
20 31 59 69 35
32 11 24 75 26
45 41 46 65 25
20 50 65 47 32
74 66 29 56 22
43 11 28 39 46
67 14 17 9 54
71 26 1 75 51
54 69 46 45 49
66 22 5 51 50
74 20 25 13 11
31 8 59 53 47
56 32 26 65 37
72 49 65 25 32
41 59 74 43 45
53 24 54 57 17
39 31 36 58 35
63 50 20 11 9
49 13 18 74 43
57 25 72 11 21
65 5 56 41 69
67 26 62 9 59
66 35 1 12 53
5 47 66 58 20
24 35 49 53 59
43 71 17 65 12
9 72 11 41 25
32 68 62 63 46
26 15
56 26 43 54 46 73 51 70 59 8 33 20 74 66 47 65 48 57 44 37 60 30 64 67 4 9
562 839 315 921
66 47 43 52 41
37 49 28 30 70
29 46 35 11 56
60 32 44 48 6
20 33 36 55 4
4 48 7 54 6
57 8 70 72 14
12 24 67 56 29
26 30 49 43 47
65 37 32 50 1
4 28 55 54 73
26 67 1 58 24
74 56 14 37 30
12 8 9 16 43
51 20 46 70 32
48 28 51 4 33
52 23 6 57 64
59 37 27 18 9
65 49 20 67 30
74 32 43 24 12
23 30 73 43 11
6 9 72 32 64
1 67 20 28 29
56 27 18 41 44
51 35 49 26 48
27 57 58 16 12
66 28 24 23 47
36 67 48 41 74
38 43 60 46 1
49 70 30 33 26
29 73 67 74 37
65 24 28 49 48
41 52 66 7 59
14 57 56 38 60
1 35 46 6 47
59 48 65 51 18
9 14 29 4 55
35 26 46 64 72
7 54 52 8 49
33 12 20 57 73
56 70 60 44 48
18 23 16 47 43
27 37 9 49 24
66 41 59 14 50
72 36 65 67 57
66 67 7 23 57
60 27 12 37 72
30 49 24 58 43
74 14 29 1 28
11 38 35 47 54
30 65 44 74 35
28 33 29 12 64
67 26 11 51 41
73 72 49 1 48
38 9 16 70 37
55 52 20 67 38
32 11 18 64 9
30 7 27 73 6
23 50 12 1 66
65 46 74 60 56
11 73 18 33 14
48 65 38 67 43
32 35 54 23 64
9 24 49 30 70
7 8 51 20 27
33 1 16 47 67
43 37 54 8 48
72 66 7 70 9
12 50 41 44 65
58 60 46 30 35
27 26 65 50 59
51 46 58 44 37
11 55 28 29 66
4 36 54 12 35
41 1 7 30 24
1 2
45
409 307 861 78
52 26 46 27 39
3 18 13 54 44
69 22 45 51 57
21 10 61 53 12
35 2 29 47 67
37 54 47 29 57
14 16 40 9 2
69 60 71 41 5
20 67 15 22 21
33 24 26 39 42
9 16
7 72 31 22 17 1 68 19 42
359 430 537 631
9 59 26 61 52
32 23 72 11 43
58 20 12 54 36
66 41 65 42 38
68 19 29 57 47
60 42 1 52 27
56 13 4 58 46
43 73 29 59 68
47 28 18 61 41
38 7 32 75 16
1 12 28 13 43
60 72 46 57 24
7 17 11 61 27
9 52 26 75 54
51 5 31 18 73
36 73 57 47 26
58 25 38 30 28
4 61 66 32 22
27 7 23 6 68
20 60 54 72 51
36 16 53 65 66
29 32 73 26 58
68 43 75 18 17
47 56 4 19 72
40 1 41 60 38
72 27 1 40 17
60 51 20 56 42
69 66 30 73 6
18 46 9 13 52
54 4 32 36 65
58 73 18 11 61
52 41 47 1 31
54 5 38 36 9
7 42 22 60 27
20 32 29 19 13
69 20 51 56 12
73 9 11 54 16
58 47 46 13 36
4 68 18 23 61
7 1 22 75 30
29 1 18 5 43
31 73 30 24 52
66 75 7 12 65
54 11 69 16 19
46 27 28 53 36
4 11 12 17 31
30 73 19 13 16
46 57 20 26 5
66 7 75 9 42
59 24 58 22 40
47 69 24 31 5
11 43 61 54 23
56 52 58 12 36
17 57 19 29 18
13 53 73 46 25
5 13 26 4 22
46 25 20 69 32
40 17 66 42 43
24 9 41 56 58
52 29 1 65 19
56 26 65 52 43
32 73 29 68 17
42 19 25 12 66
51 59 58 69 75
23 6 7 36 38
29 13 1 59 41
57 26 38 23 65
6 36 9 60 61
17 53 12 4 56
30 25 19 28 54
7 36 18 26 57
32 46 22 30 65
29 27 5 73 75
28 43 9 19 24
40 52 47 41 1
36 22 5 26 66
30 61 28 58 11
9 12 57 60 16
23 1 29 19 53
73 47 51 7 42
6 30
29 44 63 67 15 50
749 658 840 63
68 52 73 67 1
22 21 39 69 65
5 32 9 72 8
17 20 49 7 23
46 34 50 31 63
16 43 37 26 52
32 59 49 15 66
50 67 9 17 69
68 42 46 24 1
65 21 51 29 70
17 67 20 50 42
45 31 44 1 48
59 73 32 72 51
37 29 52 46 39
66 9 70 2 43
52 5 37 69 6
73 46 43 48 66
71 24 32 26 70
8 31 7 59 20
23 1 17 75 67
5 40 9 45 12
15 72 37 70 30
22 68 39 16 59
73 26 58 20 31
69 17 1 75 7
24 44 22 51 21
65 72 45 46 32
23 7 68 50 11
6 59 34 39 17
43 8 37 2 71
42 5 21 11 40
52 12 29 65 24
17 20 2 34 46
6 37 49 75 58
22 9 66 73 15
65 39 20 17 5
68 67 30 71 29
44 22 31 69 2
45 8 12 58 15
70 75 16 9 63
37 64 24 11 45
23 75 52 2 32
15 16 39 8 6
44 73 21 40 51
17 67 5 50 9
68 17 11 45 43
7 5 29 69 9
26 72 51 50 46
70 75 37 64 31
67 24 73 52 65
20 1 30 9 34
73 11 43 21 48
59 72 75 42 58
46 37 63 24 68
22 50 5 6 2
1 58 31 34 72
59 64 66 52 49
9 48 71 37 21
8 23 26 43 24
2 15 16 70 17
34 17 58 63 68
71 44 23 8 20
7 46 69 31 22
51 48 30 26 49
11 21 52 16 15
8 5 51 31 29
43 50 64 68 70
30 11 71 40 12
42 67 58 23 63
34 39 52 73 45
48 22 72 12 11
20 46 40 65 64
67 6 21 39 68
73 50 29 7 23
58 37 15 42 24
70 34 48 71 52
8 32 66 46 21
49 45 75 30 64
11 40 44 43 69
7 20 39 51 67
20 44 63 52 46
16 71 43 73 8
68 22 15 59 26
45 34 67 72 48
24 50 31 49 66
66 75 65 63 71
20 52 34 40 45
7 72 64 21 49
46 31 42 37 39
5 69 70 12 30
70 48 17 68 39
7 29 16 59 65
5 64 15 22 8
31 40 30 6 32
71 24 45 34 50
23 64 63 45 39
71 51 66 59 69
42 43 68 72 29
75 21 17 52 5
9 46 65 37 20
64 45 72 46 66
50 20 9 32 29
67 69 23 70 6
59 49 7 44 8
24 63 5 30 42
30 5 71 59 51
17 1 70 67 58
66 46 68 44 26
31 43 2 73 23
49 8 20 40 7
22 72 73 12 17
63 32 30 70 52
42 9 43 16 31
65 7 67 26 15
29 51 5 59 11
22 71 44 67 23
40 1 5 26 72
50 20 15 2 24
46 49 75 73 29
32 31 48 42 12
26 70 73 58 34
65 39 12 64 6
46 24 2 43 9
1 50 75 45 7
11 68 40 17 5
26 17 58 37 69
49 6 34 11 30
1 51 63 42 65
73 40 7 20 45
43 46 75 72 16
67 37 1 26 7
11 6 43 16 68
22 24 2 31 17
32 15 21 59 30
29 45 51 70 65
6 64 34 37 50
9 26 72 23 46
7 63 17 70 30
24 52 43 1 20
67 42 15 40 21
17 73 11 48 75
7 68 6 8 31
1 39 12 43 45
21 72 51 5 32
64 20 52 29 34
66 15 68 8 9
72 75 40 34 46
5 17 44 24 7
22 20 45 43 12
23 1 42 6 59
71 16
45 18 25 13 41 10 38 21 39 68 26 35 73 40 4 60 37 5 50 8 30 48 72 15 51 2 44 3 58 67 20 33 61 64 46 49 75 74 36 12 31 52 16 11 47 29 66 22 34 57 71 56 6 53 32 9 27 1 55 42 43 19 17 54 69 63 7 14 28 59 23
446 785 298 460
50 30 68 18 3
39 37 58 2 38
51 41 45 12 47
36 25 44 57 8
52 48 64 40 5
74 36 2 31 29
10 21 73 15 49
68 58 12 45 4
64 75 5 39 3
8 66 47 35 50
8 34 51 40 12
5 52 3 18 44
16 58 57 13 67
66 72 11 31 75
26 46 38 74 36
15 18 26 47 51
38 8 75 58 31
37 39 16 25 66
33 40 4 60 22
73 36 45 61 41
68 60 5 34 29
22 16 21 20 40
46 10 4 52 64
36 74 11 18 61
13 39 41 67 66
64 48 22 66 5
37 72 2 33 16
38 46 51 50 13
21 58 18 61 40
35 3 57 75 52
31 47 66 13 60
67 52 26 35 30
16 44 15 4 25
8 12 29 51 58
61 22 73 21 33
66 3 72 26 44
51 25 18 10 68
50 74 13 22 60
31 48 52 37 61
36 16 29 75 67
64 12 38 60 29
33 61 18 66 58
16 49 75 68 3
30 31 73 20 39
57 51 36 15 72
34 3 4 50 21
38 25 67 2 40
57 72 12 44 22
45 33 11 52 26
16 58 31 49 18
66 5 41 18 51
38 72 21 12 47
25 64 68 37 4
48 58 40 36 60
34 74 75 8 29
25 34 73 10 18
13 45 46 67 66
16 33 57 75 35
30 41 5 61 4
44 60 38 68 11
26 35 57 15 52
60 46 20 73 4
61 49 44 18 67
36 22 58 25 5
13 37 8 33 16
47 58 52 64 33
37 20 12 3 22
8 38 11 67 34
60 36 49 16 45
40 35 39 44 41
35 44 67 61 39
73 64 26 4 16
75 5 49 51 46
41 3 47 66 45
10 36 40 34 30
31 11 25 40 58
45 33 34 35 67
18 5 37 74 12
13 2 47 51 75
44 29 39 4 52
42 30
56 70 53 28 37 36 16 45 54 71 15 3 32 61 47 30 6 59 48 43 14 73 27 64 11 46 72 17 13 19 1 51 10 50 62 34 5 18 57 44 40 7
855 229 560 95
55 10 15 46 71
28 61 6 13 37
7 64 14 69 54
23 73 40 11 51
66 3 9 62 70
55 15 9 10 16
56 59 32 43 61
37 65 24 51 36
5 30 6 13 64
54 27 11 17 73
51 17 1 14 28
36 7 65 50 44
37 30 72 62 71
57 66 53 16 27
70 55 6 10 61
9 16 30 66 37
14 57 13 23 65
56 25 71 45 72
64 73 47 32 6
15 18 5 27 11
1 66 6 70 72
27 47 37 69 7
36 61 11 30 15
19 14 16 59 50
46 5 24 56 28
47 40 48 64 55
45 65 43 1 19
61 69 9 66 53
24 44 3 37 25
50 51 56 54 70
34 23 24 13 70
7 16 66 25 59
54 1 10 9 37
51 32 27 55 40
62 28 44 46 45
71 43 17 61 7
56 72 54 36 13
6 30 11 69 27
55 65 18 28 57
10 9 66 5 44
45 51 72 69 19
28 25 24 30 61
40 5 44 9 13
54 7 66 6 50
32 11 23 71 73
24 25 5 30 13
69 51 53 7 43
64 40 11 56 73
70 6 45 36 1
71 37 3 10 19
69 56 15 6 64
72 62 43 65 36
48 40 53 19 37
24 50 27 54 17
23 30 18 16 7
1 17 5 59 55
28 7 64 48 71
56 13 6 44 47
50 53 24 72 40
37 27 46 62 57
56 44 13 24 51
10 55 16 18 46
57 47 3 70 25
23 48 36 7 5
40 9 6 66 62
11 56 73 10 46
43 32 19 18 72
66 24 61 64 15
14 62 54 55 59
6 3 13 51 47
54 34 28 47 48
16 17 62 73 19
61 40 43 53 18
24 50 65 14 72
3 13 27 5 25
13 69 64 9 53
57 30 34 48 11
44 36 50 70 19
55 6 56 59 14
3 40 23 32 7
34 6 61 11 40
59 23 57 25 36
16 71 69 72 15
51 17 5 3 62
10 37 50 43 65
34 17 28 5 27
1 44 19 72 13
25 23 61 69 15
14 66 11 36 43
45 59 7 57 37
13 19 5 53 72
54 6 9 65 28
66 59 70 18 62
47 61 24 64 23
46 14 69 44 37
37 24 6 61 7
59 18 15 32 17
1 27 65 13 54
55 71 50 51 53
70 66 10 25 19
28 54 37 15 47
48 50 59 5 71
11 17 55 72 51
34 66 62 25 43
27 45 19 61 69
34 56 9 10 11
69 73 72 15 30
53 66 7 5 51
14 16 3 71 17
54 64 1 57 27
28 17 15 62 71
57 73 47 46 34
61 50 45 7 55
9 14 48 37 53
66 72 23 25 70
24 19 25 53 3
64 6 27 23 36
46 65 62 44 43
72 50 17 7 54
66 47 9 30 18
72 65 9 57 30
44 47 40 59 55
45 11 46 27 18
36 53 7 16 71
73 28 10 6 43
50 6 32 18 10
7 73 30 15 34
48 9 66 37 17
28 70 36 69 23
57 5 64 46 1
45 46 36 48 30
15 5 27 32 70
7 57 55 47 54
28 56 65 9 6
17 43 71 73 64
13 61 28 69 72
62 3 14 5 1
18 66 16 47 34
70 53 11 45 46
15 6 17 43 32
53 73 9 50 16
7 55 19 3 64
6 61 54 56 28
23 51 57 5 65
37 30 72 24 18
9 17 43 5 64
57 10 16 46 45
71 59 14 30 40
73 7 44 51 53
56 72 28 37 62
18 25
2 54 73 1 42 36 27 53 19 5 56 4 18 37 51 32 65 29
999 599 179 843
27 21 2 37 18
15 4 55 38 5
23 10 44 31 13
64 69 72 56 52
65 26 51 16 9
17 9 72 24 10
57 42 69 23 51
3 53 62 67 39
27 46 36 26 55
15 52 63 48 28
73 67 23 18 65
28 38 62 26 19
3 46 9 10 69
5 45 57 58 42
53 36 17 16 1
39 73 54 9 15
5 65 19 21 51
58 62 26 31 23
56 67 29 4 13
36 27 52 45 16
27 64 44 35 56
65 28 39 31 32
74 52 67 62 53
29 17 54 13 37
3 36 26 23 51
37 72 28 58 74
15 48 56 5 67
39 63 1 38 35
45 46 53 19 26
55 18 52 3 17
58 32 52 4 13
35 37 5 69 2
19 1 64 16 72
27 53 55 45 48
57 44 46 9 65
57 32 9 73 1
26 24 65 44 10
38 55 23 54 31
46 2 35 16 60
19 72 13 56 4
13 21 58 31 18
19 29 64 16 53
1 57 48 9 54
73 26 15 44 32
65 60 42 28 72
64 55 46 45 1
74 51 44 39 21
38 36 29 27 19
32 42 60 48 13
2 65 35 53 31
5 38 52 4 21
69 26 2 45 31
1 73 62 35 18
9 65 48 16 54
60 72 64 55 37
28 29 24 27 5
53 60 4 38 36
19 73 46 64 31
65 72 54 67 9
58 55 26 1 51
67 23 3 15 60
51 13 17 62 38
28 4 29 37 18
26 69 72 35 63
56 16 48 64 36
73 42 46 69 74
26 24 56 52 53
17 10 60 44 35
31 32 54 36 1
37 21 72 16 58
46 67 2 36 24
27 1 63 35 3
21 56 55 26 32
29 74 28 19 23
38 58 17 13 64
60 32 19 64 5
53 13 48 1 16
36 63 26 4 46
74 38 21 3 15
62 54 51 55 9
46 48 65 54 23
1 53 74 58 13
26 38 29 31 69
52 60 24 45 64
21 51 4 15 72
57 13 51 44 42
67 5 23 38 16
48 39 60 72 2
69 53 3 65 17
45 74 10 26 54
36 57 54 2 24
56 74 31 28 53
44 27 21 23 38
16 64 72 39 26
1 48 67 42 69
62 45 72 10 31
64 23 52 54 15
55 53 1 28 38
73 5 69 2 67
32 36 21 26 46
35 37 55 1 21
19 53 48 9 24
15 64 5 32 62
29 54 23 69 13
60 31 58 44 56
57 42 72 29 31
53 74 17 27 1
69 45 2 37 44
62 19 13 64 5
63 56 35 58 60
45 4 62 52 32
2 36 65 15 31
37 13 54 9 58
17 55 18 5 39
10 67 46 44 26
54 64 69 46 9
42 51 48 3 4
28 19 60 15 44
2 58 35 27 32
53 26 16 72 5
37 60 58 9 10
52 28 2 63 29
73 16 55 38 48
35 5 13 57 27
24 72 3 53 65
71 27
55 20 35 5 7 13 48 70 33 31 15 73 75 52 37 46 36 43 3 26 51 25 72 39 14 45 65 64 22 21 60 54 49 27 56 74 71 29 40 38 11 28 59 1 30 68 6 12 16 34 24 32 9 2 50 61 67 47 44 62 69 23 58 53 17 66 8 42 63 4 10
411 338 110 917
70 31 71 15 27
65 1 74 21 56
14 22 55 59 46
60 35 54 12 25
30 34 40 33 45
33 27 16 70 46
11 49 36 1 3
7 68 73 75 35
48 6 40 45 56
54 60 20 71 37
68 15 54 56 64
29 37 46 72 73
16 45 33 60 52
13 11 27 65 14
40 5 49 12 55
37 48 46 54 49
34 3 36 27 30
75 74 31 70 60
12 45 5 72 65
64 71 25 15 16
3 6 73 60 43
1 35 25 71 68
56 15 37 38 20
39 36 27 74 29
72 11 5 70 55
14 39 46 33 59
36 26 13 31 43
12 56 37 5 20
54 34 49 11 71
55 75 15 48 29
21 43 6 3 36
60 20 68 26 70
27 29 33 22 48
25 7 38 51 35
11 75 37 55 12
60 68 28 3 71
65 40 26 72 73
43 38 7 49 15
55 37 34 75 51
48 5 56 25 20
36 59 39 11 12
65 38 46 1 48
64 37 74 54 21
22 55 33 75 31
15 14 52 49 5
13 20 1 48 39
71 27 64 25 5
56 49 46 33 74
45 54 16 60 38
72 21 15 55 31
38 36 35 56 52
46 21 48 39 22
54 34 29 5 37
27 28 43 15 30
70 55 1 3 12
68 22 52 13 39
51 33 65 28 45
64 11 36 25 60
72 70 26 35 15
29 48 71 74 40
11 40 56 15 64
54 68 28 34 73
48 36 49 5 39
74 38 46 29 7
16 70 65 22 75
56 49 16 30 59
65 40 43 55 11
70 6 46 74 68
15 5 60 14 33
7 51 34 45 54
29 5 56 33 22
43 65 15 3 39
6 40 14 64 46
20 21 59 34 38
30 72 25 28 75
22 1 59 25 28
37 73 65 20 56
60 13 3 39 29
6 14 43 45 5
55 12 21 16 49
25 33 64 11 37
22 14 1 28 34
12 55 3 68 7
5 27 39 46 30
74 65 38 26 73
37 71 3 72 56
11 39 20 12 65
54 46 59 60 14
27 5 70 31 74
35 30 25 22 16
12 49 39 28 51
52 56 68 40 16
1 22 71 38 13
72 29 54 15 43
21 14 75 73 60
37 51 40 71 25
72 6 68 30 34
59 39 33 35 48
29 45 13 75 64
15 31 27 14 70
71 15 43 60 38
11 70 34 5 6
73 25 49 31 46
20 68 33 16 64
7 13 27 56 75
29 71 73 51 12
13 56 34 30 6
72 75 21 38 45
43 31 39 7 20
36 40 28 68 3
74 25 70 29 60
6 22 54 48 1
40 45 75 21 14
12 71 64 15 30
11 26 68 37 39
39 51 64 38 33
26 28 65 55 3
15 14 27 20 72
30 37 68 45 52
54 7 36 73 21
22 25 55 72 27
54 73 14 3 21
28 37 29 59 60
64 7 56 20 12
51 46 6 33 74
6 74 13 48 52
3 12 71 1 56
40 15 59 5 36
45 14 11 55 38
60 73 51 22 26
59 60 7 68 33
21 51 49 25 54
1 15 43 38 22
71 39 40 36 37
34 26 74 64 3
39 21
14 30 56 35 15 33 71 63 37 24 52 25 64 34 29 17 65 69 67 11 47 62 39 60 58 27 51 26 6 54 46 70 8 38 2 42 23 45 72
948 764 582 224
6 35 64 68 70
33 42 47 53 13
54 23 29 72 38
19 67 65 37 9
45 63 15 75 73
39 72 69 34 52
17 6 19 23 33
25 27 47 62 71
29 11 49 58 65
46 56 9 42 38
35 63 25 62 15
26 69 49 5 20
47 10 14 75 2
52 23 19 11 9
65 17 37 24 33
30 35 63 15 70
23 71 27 65 24
10 73 52 51 72
2 67 47 39 42
37 54 56 49 33
51 15 27 42 60
67 6 72 26 73
14 35 10 46 68
30 23 70 9 2
20 52 5 13 24
49 5 19 64 2
71 14 6 54 17
51 34 20 9 33
24 25 27 73 8
72 39 35 29 56
72 56 20 29 63
53 46 38 45 23
9 25 30 2 62
34 14 17 47 51
70 26 11 65 49
39 68 10 51 17
26 46 64 27 25
11 60 56 5 45
20 2 69 15 29
75 70 33 14 63
23 27 38 9 25
33 5 53 73 64
46 2 24 39 56
52 45 63 35 68
58 30 75 60 47
5 29 56 58 13
14 67 53 42 11
70 71 38 2 62
75 23 20 19 9
47 35 69 65 73
64 53 45 70 2
49 14 37 62 8
33 52 71 67 35
54 23 17 9 72
34 19 38 25 10
73 64 35 13 71
15 63 30 60 47
45 52 65 72 34
27 37 56 53 51
46 9 19 8 67
9 68 75 34 67
72 53 8 38 35
46 2 73 60 45
56 29 17 52 62
27 25 65 24 20
67 56 71 27 63
20 25 64 39 29
45 11 34 19 70
38 30 6 47 13
15 5 26 42 35
11 56 30 52 27
46 69 23 58 60
65 26 34 33 39
2 75 10 70 64
29 20 5 71 47
56 30 65 52 35
19 10 46 5 58
42 8 29 54 70
73 68 38 64 2
33 37 17 25 23
17 71 19 54 64
8 33 60 24 5
2 53 62 75 27
13 58 56 20 29
30 6 38 26 65
56 75 8 65 5
51 23 11 6 71
58 15 63 45 53
37 2 69 24 19
14 62 67 33 17
27 45 42 47 64
73 13 71 75 62
35 6 70 19 56
51 69 46 38 54
39 53 26 34 15
71 42 37 54 29
23 64 5 11 52
49 45 53 65 30
70 60 26 2 73
69 15 13 14 47
71 9 62 5 45
53 24 69 23 10
15 6 35 60 56
8 70 65 19 37
2 52 25 54 29
53 5
29 30 5 60 20 69 38 46 71 6 27 13 73 47 18 37 56 12 62 31 16 19 48 10 70 2 59 44 63 7 54 58 35 43 74 32 57 67 34 14 41 53 24 50 26 22 51 52 64 25 17 36 72
236 860 172 354
70 56 71 27 14
63 31 60 26 6
44 64 7 46 5
62 51 10 34 32
41 19 12 53 52
12 5 52 67 58
44 57 6 59 71
30 62 2 74 25
38 41 31 34 69
19 20 27 29 48
27 19 13 57 53
62 34 47 7 67
59 43 41 54 38
71 46 26 5 30
18 35 73 12 44
54 13 64 47 37
44 25 7 70 73
46 2 16 31 43
22 12 63 59 18
48 74 50 60 26
34 59 64 7 46
6 47 41 71 38
25 19 10 51 31
48 70 26 12 54
18 67 22 29 20
61 30
74 34 32 52 62 13 15 72 28 26 43 4 59 9 45 69 25 31 44 57 41 65 46 53 14 35 37 24 29 18 60 42 54 64 66 47 12 30 7 8 50 10 70 63 39 19 20 58 55 40 73 67 21 2 1 33 68 17 61 71 11
491 666 0 50
43 13 19 66 9
34 35 69 58 53
25 70 63 7 12
52 15 18 47 65
4 72 42 41 14
54 64 25 9 14
50 13 7 31 39
18 58 40 57 55
15 72 44 8 24
10 70 30 66 74
70 53 34 62 43
25 42 8 64 69
31 24 65 29 12
55 20 9 15 39
59 19 26 50 60
62 28 32 42 13
59 34 53 7 64
40 41 52 14 39
15 18 74 60 46
55 20 4 66 45
53 10 43 19 66
55 12 54 69 4
64 57 24 47 46
25 62 72 20 15
39 37 60 45 9
24 30 63 58 39
69 4 70 57 32
40 44 55 10 9
50 74 41 12 66
43 15 54 46 65
32 4 41 15 59
18 42 19 40 34
69 10 25 8 14
26 28 13 9 37
53 54 72 58 60
13 12 28 32 40
57 14 63 41 59
55 20 31 8 44
43 64 9 26 72
18 45 42 37 53
70 46 28 4 29
52 42 10 44 64
72 62 40 60 31
59 54 12 53 25
65 14 15 18 8
28 55 39 72 32
37 40 18 8 74
57 24 34 58 46
47 50 41 59 65
14 9 62 69 13
66 59 37 57 64
40 25 42 43 31
52 20 18 47 50
35 69 55 15 60
26 32 14 58 13
10 53 8 50 25
60 7 9 42 46
62 59 54 14 28
55 37 43 66 4
52 29 34 63 47
65 43 18 25 44
37 74 52 26 70
9 32 34 31 64
35 28 19 55 45
14 63 57 50 20
45 65 4 29 41
39 53 58 46 63
60 72 37 74 62
28 57 10 40 54
66 59 44 9 55
28 42 24 15 43
69 52 41 30 40
35 63 58 60 31
8 54 70 26 37
53 72 19 45 14
29 66 37 18 58
25 34 19 59 60
43 8 12 14 55
10 24 46 32 63
35 47 40 41 70
15 7 70 52 39
40 41 46 60 26
63 54 18 69 32
28 58 64 43 62
65 14 13 12 8
60 46 43 29 10
65 32 62 37 57
70 45 28 8 7
34 41 50 13 52
39 47 74 44 4
19 74 44 70 26
35 34 65 55 69
53 8 58 30 40
47 15 43 41 72
12 46 20 7 29
74 30 63 57 26
60 28 62 13 52
55 31 12 35 66
72 9 37 41 24
65 14 4 34 54
32 57 54 59 62
12 9 63 25 26
7 65 46 31 13
66 4 64 52 69
15 40 18 24 41
45 63 18 66 30
62 44 74 55 19
26 47 46 64 9
7 43 12 32 65
25 29 10 42 8
69 45 53 54 58
70 47 40 42 19
52 37 59 62 10
35 32 12 74 44
20 26 43 4 28
69 32 8 25 72
9 66 24 14 39
60 65 45 59 43
20 64 34 53 7
74 47 63 15 10
54 45 39 63 9
